2024-12-23 12:58:13.241 +03:00 [INF] User profile is available. Using 'C:\Users\h.abumeshref\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
2024-12-23 12:58:13.513 +03:00 [INF] LoggingWorker started at "2024-12-23T12:58:13.4949390+03:00"
2024-12-23 12:59:45.570 +03:00 [INF] Worker running at: "2024-12-23T12:59:45.5662572+03:00"
2024-12-23 12:59:46.585 +03:00 [INF] Worker running at: "2024-12-23T12:59:46.5806055+03:00"
2024-12-23 12:59:47.597 +03:00 [INF] Worker running at: "2024-12-23T12:59:47.5937832+03:00"
2024-12-23 12:59:48.609 +03:00 [INF] Worker running at: "2024-12-23T12:59:48.6054353+03:00"
2024-12-23 12:59:49.623 +03:00 [INF] Worker running at: "2024-12-23T12:59:49.6196260+03:00"
2024-12-23 12:59:50.635 +03:00 [INF] Worker running at: "2024-12-23T12:59:50.6304365+03:00"
2024-12-23 12:59:51.644 +03:00 [INF] Worker running at: "2024-12-23T12:59:51.6415365+03:00"
2024-12-23 12:59:52.657 +03:00 [INF] Worker running at: "2024-12-23T12:59:52.6518123+03:00"
2024-12-23 12:59:53.666 +03:00 [INF] Worker running at: "2024-12-23T12:59:53.6624108+03:00"
2024-12-23 12:59:54.683 +03:00 [INF] Worker running at: "2024-12-23T12:59:54.6783429+03:00"
2024-12-23 12:59:55.691 +03:00 [INF] Worker running at: "2024-12-23T12:59:55.6859191+03:00"
2024-12-23 12:59:56.708 +03:00 [INF] Worker running at: "2024-12-23T12:59:56.7032365+03:00"
2024-12-23 12:59:57.721 +03:00 [INF] Worker running at: "2024-12-23T12:59:57.7175442+03:00"
2024-12-23 12:59:58.734 +03:00 [INF] Worker running at: "2024-12-23T12:59:58.7314932+03:00"
2024-12-23 12:59:59.746 +03:00 [INF] Worker running at: "2024-12-23T12:59:59.7427854+03:00"
2024-12-23 13:00:00.760 +03:00 [INF] Worker running at: "2024-12-23T13:00:00.7562000+03:00"
2024-12-23 13:00:01.767 +03:00 [INF] Worker running at: "2024-12-23T13:00:01.7641700+03:00"
2024-12-23 13:00:02.775 +03:00 [INF] Worker running at: "2024-12-23T13:00:02.7713582+03:00"
2024-12-23 13:00:03.787 +03:00 [INF] Worker running at: "2024-12-23T13:00:03.7835300+03:00"
2024-12-23 13:00:04.808 +03:00 [INF] Worker running at: "2024-12-23T13:00:04.8032108+03:00"
2024-12-23 13:00:05.817 +03:00 [INF] Worker running at: "2024-12-23T13:00:05.8094299+03:00"
2024-12-23 13:00:06.824 +03:00 [INF] Worker running at: "2024-12-23T13:00:06.8213596+03:00"
2024-12-23 13:00:07.839 +03:00 [INF] Worker running at: "2024-12-23T13:00:07.8334943+03:00"
2024-12-23 13:00:08.846 +03:00 [INF] Worker running at: "2024-12-23T13:00:08.8418200+03:00"
2024-12-23 13:00:09.857 +03:00 [INF] Worker running at: "2024-12-23T13:00:09.8554410+03:00"
2024-12-23 13:00:10.868 +03:00 [INF] Worker running at: "2024-12-23T13:00:10.8646989+03:00"
2024-12-23 13:00:11.884 +03:00 [INF] Worker running at: "2024-12-23T13:00:11.8788942+03:00"
2024-12-23 13:00:12.897 +03:00 [INF] Worker running at: "2024-12-23T13:00:12.8933182+03:00"
2024-12-23 13:00:13.909 +03:00 [INF] Worker running at: "2024-12-23T13:00:13.9050186+03:00"
2024-12-23 13:00:14.924 +03:00 [INF] Worker running at: "2024-12-23T13:00:14.9204151+03:00"
2024-12-23 13:00:15.938 +03:00 [INF] Worker running at: "2024-12-23T13:00:15.9316353+03:00"
2024-12-23 13:00:16.951 +03:00 [INF] Worker running at: "2024-12-23T13:00:16.9456590+03:00"
2024-12-23 13:00:17.959 +03:00 [INF] Worker running at: "2024-12-23T13:00:17.9547299+03:00"
2024-12-23 13:00:18.974 +03:00 [INF] Worker running at: "2024-12-23T13:00:18.9720171+03:00"
2024-12-23 13:00:19.992 +03:00 [INF] Worker running at: "2024-12-23T13:00:19.9877038+03:00"
2024-12-23 13:00:21.004 +03:00 [INF] Worker running at: "2024-12-23T13:00:20.9976244+03:00"
2024-12-23 13:00:22.010 +03:00 [INF] Worker running at: "2024-12-23T13:00:22.0066356+03:00"
2024-12-23 13:00:23.021 +03:00 [INF] Worker running at: "2024-12-23T13:00:23.0186384+03:00"
2024-12-23 13:00:24.040 +03:00 [INF] Worker running at: "2024-12-23T13:00:24.0374616+03:00"
2024-12-23 13:00:25.054 +03:00 [INF] Worker running at: "2024-12-23T13:00:25.0480568+03:00"
2024-12-23 13:00:26.066 +03:00 [INF] Worker running at: "2024-12-23T13:00:26.0616758+03:00"
2024-12-23 13:00:27.077 +03:00 [INF] Worker running at: "2024-12-23T13:00:27.0711894+03:00"
2024-12-23 13:00:28.086 +03:00 [INF] Worker running at: "2024-12-23T13:00:28.0819732+03:00"
2024-12-23 13:00:29.091 +03:00 [INF] Worker running at: "2024-12-23T13:00:29.0874029+03:00"
2024-12-23 13:00:30.102 +03:00 [INF] Worker running at: "2024-12-23T13:00:30.0967677+03:00"
2024-12-23 13:00:31.112 +03:00 [INF] Worker running at: "2024-12-23T13:00:31.1072868+03:00"
2024-12-23 13:00:32.118 +03:00 [INF] Worker running at: "2024-12-23T13:00:32.1126577+03:00"
2024-12-23 13:00:33.130 +03:00 [INF] Worker running at: "2024-12-23T13:00:33.1260741+03:00"
2024-12-23 13:00:34.142 +03:00 [INF] Worker running at: "2024-12-23T13:00:34.1376484+03:00"
2024-12-23 13:00:35.151 +03:00 [INF] Worker running at: "2024-12-23T13:00:35.1456027+03:00"
2024-12-23 13:00:36.172 +03:00 [INF] Worker running at: "2024-12-23T13:00:36.1670058+03:00"
2024-12-23 13:00:37.180 +03:00 [INF] Worker running at: "2024-12-23T13:00:37.1764947+03:00"
2024-12-23 13:00:38.190 +03:00 [INF] Worker running at: "2024-12-23T13:00:38.1860151+03:00"
2024-12-23 13:00:39.207 +03:00 [INF] Worker running at: "2024-12-23T13:00:39.2003656+03:00"
2024-12-23 13:00:40.216 +03:00 [INF] Worker running at: "2024-12-23T13:00:40.2121364+03:00"
2024-12-23 13:00:41.227 +03:00 [INF] Worker running at: "2024-12-23T13:00:41.2218655+03:00"
2024-12-23 13:00:42.239 +03:00 [INF] Worker running at: "2024-12-23T13:00:42.2342683+03:00"
2024-12-23 13:00:43.248 +03:00 [INF] Worker running at: "2024-12-23T13:00:43.2436639+03:00"
2024-12-23 13:00:44.270 +03:00 [INF] Worker running at: "2024-12-23T13:00:44.2671641+03:00"
2024-12-23 13:00:45.287 +03:00 [INF] Worker running at: "2024-12-23T13:00:45.2806207+03:00"
2024-12-23 13:00:46.291 +03:00 [INF] Worker running at: "2024-12-23T13:00:46.2882632+03:00"
2024-12-23 13:00:47.307 +03:00 [INF] Worker running at: "2024-12-23T13:00:47.3016450+03:00"
2024-12-23 13:00:48.312 +03:00 [INF] Worker running at: "2024-12-23T13:00:48.3096794+03:00"
2024-12-23 13:00:49.324 +03:00 [INF] Worker running at: "2024-12-23T13:00:49.3198773+03:00"
2024-12-23 13:00:50.333 +03:00 [INF] Worker running at: "2024-12-23T13:00:50.3309214+03:00"
2024-12-23 13:00:51.342 +03:00 [INF] Worker running at: "2024-12-23T13:00:51.3396192+03:00"
2024-12-23 13:00:52.349 +03:00 [INF] Worker running at: "2024-12-23T13:00:52.3473912+03:00"
2024-12-23 13:00:53.362 +03:00 [INF] Worker running at: "2024-12-23T13:00:53.3585773+03:00"
2024-12-23 13:00:54.375 +03:00 [INF] Worker running at: "2024-12-23T13:00:54.3705538+03:00"
2024-12-23 13:00:55.386 +03:00 [INF] Worker running at: "2024-12-23T13:00:55.3842108+03:00"
2024-12-23 13:00:56.392 +03:00 [INF] Worker running at: "2024-12-23T13:00:56.3879103+03:00"
2024-12-23 13:00:57.411 +03:00 [INF] Worker running at: "2024-12-23T13:00:57.4076582+03:00"
2024-12-23 13:00:58.425 +03:00 [INF] Worker running at: "2024-12-23T13:00:58.4211557+03:00"
2024-12-23 13:00:59.440 +03:00 [INF] Worker running at: "2024-12-23T13:00:59.4357284+03:00"
2024-12-23 13:01:00.454 +03:00 [INF] Worker running at: "2024-12-23T13:01:00.4475011+03:00"
2024-12-23 13:01:01.462 +03:00 [INF] Worker running at: "2024-12-23T13:01:01.4586269+03:00"
2024-12-23 13:01:02.474 +03:00 [INF] Worker running at: "2024-12-23T13:01:02.4693080+03:00"
2024-12-23 13:01:03.483 +03:00 [INF] Worker running at: "2024-12-23T13:01:03.4790055+03:00"
2024-12-23 13:01:04.494 +03:00 [INF] Worker running at: "2024-12-23T13:01:04.4898587+03:00"
2024-12-23 13:01:05.503 +03:00 [INF] Worker running at: "2024-12-23T13:01:05.4982828+03:00"
2024-12-23 13:01:06.511 +03:00 [INF] Worker running at: "2024-12-23T13:01:06.5076004+03:00"
2024-12-23 13:01:07.526 +03:00 [INF] Worker running at: "2024-12-23T13:01:07.5222831+03:00"
2024-12-23 13:01:08.540 +03:00 [INF] Worker running at: "2024-12-23T13:01:08.5353745+03:00"
2024-12-23 13:01:09.557 +03:00 [INF] Worker running at: "2024-12-23T13:01:09.5503845+03:00"
2024-12-23 13:01:10.574 +03:00 [INF] Worker running at: "2024-12-23T13:01:10.5689377+03:00"
2024-12-23 13:01:11.582 +03:00 [INF] Worker running at: "2024-12-23T13:01:11.5789654+03:00"
2024-12-23 13:01:12.599 +03:00 [INF] Worker running at: "2024-12-23T13:01:12.5943161+03:00"
2024-12-23 13:01:13.605 +03:00 [INF] Worker running at: "2024-12-23T13:01:13.6017211+03:00"
2024-12-23 13:01:14.618 +03:00 [INF] Worker running at: "2024-12-23T13:01:14.6131861+03:00"
2024-12-23 13:01:15.630 +03:00 [INF] Worker running at: "2024-12-23T13:01:15.6266444+03:00"
2024-12-23 13:01:16.640 +03:00 [INF] Worker running at: "2024-12-23T13:01:16.6366384+03:00"
2024-12-23 13:01:17.645 +03:00 [INF] Worker running at: "2024-12-23T13:01:17.6423029+03:00"
2024-12-23 13:01:18.654 +03:00 [INF] Worker running at: "2024-12-23T13:01:18.6507305+03:00"
2024-12-23 13:01:19.664 +03:00 [INF] Worker running at: "2024-12-23T13:01:19.6590561+03:00"
2024-12-23 13:01:20.674 +03:00 [INF] Worker running at: "2024-12-23T13:01:20.6690209+03:00"
2024-12-23 13:01:21.684 +03:00 [INF] Worker running at: "2024-12-23T13:01:21.6807564+03:00"
2024-12-23 13:01:22.693 +03:00 [INF] Worker running at: "2024-12-23T13:01:22.6898778+03:00"
2024-12-23 13:01:23.708 +03:00 [INF] Worker running at: "2024-12-23T13:01:23.7053476+03:00"
2024-12-23 13:01:24.722 +03:00 [INF] Worker running at: "2024-12-23T13:01:24.7196206+03:00"
2024-12-23 13:01:25.734 +03:00 [INF] Worker running at: "2024-12-23T13:01:25.7317975+03:00"
2024-12-23 13:01:26.745 +03:00 [INF] Worker running at: "2024-12-23T13:01:26.7418820+03:00"
2024-12-23 13:01:27.757 +03:00 [INF] Worker running at: "2024-12-23T13:01:27.7541870+03:00"
2024-12-23 13:01:28.769 +03:00 [INF] Worker running at: "2024-12-23T13:01:28.7651061+03:00"
2024-12-23 13:01:29.780 +03:00 [INF] Worker running at: "2024-12-23T13:01:29.7765968+03:00"
2024-12-23 13:01:30.794 +03:00 [INF] Worker running at: "2024-12-23T13:01:30.7912041+03:00"
2024-12-23 13:01:31.802 +03:00 [INF] Worker running at: "2024-12-23T13:01:31.7997760+03:00"
2024-12-23 13:01:32.813 +03:00 [INF] Worker running at: "2024-12-23T13:01:32.8105624+03:00"
2024-12-23 13:01:33.826 +03:00 [INF] Worker running at: "2024-12-23T13:01:33.8229821+03:00"
2024-12-23 13:01:34.837 +03:00 [INF] Worker running at: "2024-12-23T13:01:34.8344024+03:00"
2024-12-23 13:01:35.849 +03:00 [INF] Worker running at: "2024-12-23T13:01:35.8467242+03:00"
2024-12-23 13:01:36.867 +03:00 [INF] Worker running at: "2024-12-23T13:01:36.8635607+03:00"
2024-12-23 13:01:37.880 +03:00 [INF] Worker running at: "2024-12-23T13:01:37.8778516+03:00"
2024-12-23 13:01:38.897 +03:00 [INF] Worker running at: "2024-12-23T13:01:38.8935197+03:00"
2024-12-23 13:01:39.912 +03:00 [INF] Worker running at: "2024-12-23T13:01:39.9095348+03:00"
2024-12-23 13:01:40.924 +03:00 [INF] Worker running at: "2024-12-23T13:01:40.9207788+03:00"
2024-12-23 13:01:41.939 +03:00 [INF] Worker running at: "2024-12-23T13:01:41.9358634+03:00"
2024-12-23 13:01:42.952 +03:00 [INF] Worker running at: "2024-12-23T13:01:42.9490718+03:00"
2024-12-23 13:01:43.960 +03:00 [INF] Worker running at: "2024-12-23T13:01:43.9577294+03:00"
2024-12-23 13:01:44.971 +03:00 [INF] Worker running at: "2024-12-23T13:01:44.9669528+03:00"
2024-12-23 13:01:45.983 +03:00 [INF] Worker running at: "2024-12-23T13:01:45.9791240+03:00"
2024-12-23 13:01:46.995 +03:00 [INF] Worker running at: "2024-12-23T13:01:46.9914320+03:00"
2024-12-23 13:01:48.009 +03:00 [INF] Worker running at: "2024-12-23T13:01:48.0037891+03:00"
2024-12-23 13:01:49.020 +03:00 [INF] Worker running at: "2024-12-23T13:01:49.0151605+03:00"
2024-12-23 13:01:50.034 +03:00 [INF] Worker running at: "2024-12-23T13:01:50.0289500+03:00"
2024-12-23 13:01:51.042 +03:00 [INF] Worker running at: "2024-12-23T13:01:51.0359808+03:00"
2024-12-23 13:01:52.053 +03:00 [INF] Worker running at: "2024-12-23T13:01:52.0479438+03:00"
2024-12-23 13:01:53.060 +03:00 [INF] Worker running at: "2024-12-23T13:01:53.0560725+03:00"
2024-12-23 13:01:54.069 +03:00 [INF] Worker running at: "2024-12-23T13:01:54.0652024+03:00"
2024-12-23 13:01:55.085 +03:00 [INF] Worker running at: "2024-12-23T13:01:55.0817543+03:00"
2024-12-23 13:01:56.100 +03:00 [INF] Worker running at: "2024-12-23T13:01:56.0975423+03:00"
2024-12-23 13:01:57.112 +03:00 [INF] Worker running at: "2024-12-23T13:01:57.1086615+03:00"
2024-12-23 13:01:58.126 +03:00 [INF] Worker running at: "2024-12-23T13:01:58.1212532+03:00"
2024-12-23 13:01:59.140 +03:00 [INF] Worker running at: "2024-12-23T13:01:59.1372827+03:00"
2024-12-23 13:02:00.150 +03:00 [INF] Worker running at: "2024-12-23T13:02:00.1452257+03:00"
2024-12-23 13:02:01.157 +03:00 [INF] Worker running at: "2024-12-23T13:02:01.1540267+03:00"
2024-12-23 13:02:02.163 +03:00 [INF] Worker running at: "2024-12-23T13:02:02.1603868+03:00"
2024-12-23 13:02:03.182 +03:00 [INF] Worker running at: "2024-12-23T13:02:03.1761236+03:00"
2024-12-23 13:02:04.192 +03:00 [INF] Worker running at: "2024-12-23T13:02:04.1885951+03:00"
2024-12-23 13:02:05.202 +03:00 [INF] Worker running at: "2024-12-23T13:02:05.1993732+03:00"
2024-12-23 13:02:06.219 +03:00 [INF] Worker running at: "2024-12-23T13:02:06.2159274+03:00"
2024-12-23 13:02:07.232 +03:00 [INF] Worker running at: "2024-12-23T13:02:07.2286395+03:00"
2024-12-23 13:02:08.246 +03:00 [INF] Worker running at: "2024-12-23T13:02:08.2401032+03:00"
2024-12-23 13:02:09.257 +03:00 [INF] Worker running at: "2024-12-23T13:02:09.2533834+03:00"
2024-12-23 13:02:10.269 +03:00 [INF] Worker running at: "2024-12-23T13:02:10.2655283+03:00"
2024-12-23 13:02:11.282 +03:00 [INF] Worker running at: "2024-12-23T13:02:11.2774077+03:00"
2024-12-23 13:02:12.293 +03:00 [INF] Worker running at: "2024-12-23T13:02:12.2900540+03:00"
2024-12-23 13:02:13.305 +03:00 [INF] Worker running at: "2024-12-23T13:02:13.3025897+03:00"
2024-12-23 13:02:14.317 +03:00 [INF] Worker running at: "2024-12-23T13:02:14.3146168+03:00"
2024-12-23 13:02:15.331 +03:00 [INF] Worker running at: "2024-12-23T13:02:15.3290379+03:00"
2024-12-23 13:02:16.345 +03:00 [INF] Worker running at: "2024-12-23T13:02:16.3412446+03:00"
2024-12-23 13:02:17.363 +03:00 [INF] Worker running at: "2024-12-23T13:02:17.3600663+03:00"
2024-12-23 13:02:18.378 +03:00 [INF] Worker running at: "2024-12-23T13:02:18.3743098+03:00"
2024-12-23 13:02:19.389 +03:00 [INF] Worker running at: "2024-12-23T13:02:19.3857544+03:00"
2024-12-23 13:02:20.402 +03:00 [INF] Worker running at: "2024-12-23T13:02:20.3969848+03:00"
